,budget,theta,n_theta_min,n_preferences,additivity,size,sizes_sum,C,W,T
40,3,heuristic,1,6,1,3,3,6,0,6
41,3,random,1,6,1,3,3,6,0,6
42,3,union,1,6,1,3,3,6,0,6
43,3,all_thetas,1,6,1,3,3,18,8,35
44,3,heuristic,1,6,1,3,3,6,0,6
45,3,random,1,6,1,3,3,6,0,6
46,3,union,1,6,1,3,3,6,0,6
47,3,all_thetas,1,6,1,3,3,19,5,27
48,3,heuristic,1,6,1,3,3,6,0,6
49,3,random,1,6,1,3,3,6,0,6
50,3,union,1,6,1,3,3,6,0,6
51,3,all_thetas,1,6,1,3,3,19,5,32
52,3,heuristic,1,6,1,3,3,6,0,6
53,3,random,1,6,1,3,3,6,0,6
54,3,union,1,6,1,3,3,6,0,6
55,3,all_thetas,1,6,1,3,3,19,7,33
56,3,heuristic,1,6,1,3,3,6,0,6
57,3,random,1,6,1,3,3,6,0,6
58,3,union,1,6,1,3,3,6,0,6
59,3,all_thetas,1,6,1,3,3,20,9,37
60,4,heuristic,2,9,1,4,4,9,0,9
61,4,random,2,9,1,3,3,9,0,9
62,4,union,2,9,1,4,4,9,0,9
63,4,all_thetas,2,9,1,3,3,20,3,24
64,4,heuristic,2,9,1,4,4,9,0,9
65,4,random,2,9,1,3,3,9,0,9
66,4,union,2,9,1,4,4,9,0,9
67,4,all_thetas,2,9,1,3,3,8,8,20
68,4,heuristic,2,9,1,4,4,9,0,9
69,4,random,2,9,1,3,3,9,0,9
70,4,union,2,9,1,4,4,9,0,9
71,4,all_thetas,2,9,1,3,3,22,3,28
72,4,heuristic,2,9,2,10,16,9,0,9
73,4,random,2,9,1,3,3,9,0,9
74,4,union,2,9,1,4,4,9,0,9
75,4,all_thetas,2,9,1,3,3,10,7,21
76,4,heuristic,2,9,1,4,4,9,0,9
77,4,random,2,9,1,3,3,9,0,9
78,4,union,2,9,1,4,4,9,0,9
79,4,all_thetas,2,9,1,3,3,14,6,25
80,5,heuristic,1,12,2,10,16,12,0,12
81,5,random,1,12,1,3,3,12,0,12
82,5,union,1,12,1,3,3,12,0,12
83,5,all_thetas,1,12,1,3,3,26,0,31
84,5,heuristic,1,12,3,14,28,12,0,12
85,5,random,1,12,1,3,3,12,0,12
86,5,union,1,12,1,3,3,12,0,12
87,5,all_thetas,1,12,1,3,3,22,3,30
88,5,heuristic,1,12,3,14,28,12,0,12
89,5,random,1,12,1,3,3,12,0,12
90,5,union,1,12,1,3,3,12,0,12
91,5,all_thetas,1,12,1,3,3,18,3,29
92,5,heuristic,1,12,2,10,16,12,0,12
93,5,random,1,12,1,3,3,12,0,12
94,5,union,1,12,1,3,3,12,0,12
