,n_pref,n_items,relation,MSS,Time
152,3,4,LEX+,2,0.037157535552978516
153,3,4,LEX,1,0.033315420150756836
154,3,4,INCL,1,0.032530784606933594
155,3,4,LEX+,1,0.02738785743713379
156,3,4,LEX,5,0.12702250480651855
157,3,4,INCL,952,10.39376974105835
158,3,4,LEX+,5,0.12884306907653809
159,3,4,LEX,5,0.0799715518951416
160,3,4,INCL,22,0.2473151683807373
161,3,4,LEX+,5,0.08084344863891602
162,3,4,LEX,5,0.08243227005004883
163,3,4,INCL,40,0.43480539321899414
164,3,4,LEX+,5,0.07991385459899902
165,3,4,LEX,2,0.04066896438598633
166,3,4,INCL,6,0.07895588874816895
167,3,4,LEX+,2,0.040543556213378906
168,3,4,LEX,1,0.03197669982910156
169,3,4,INCL,1,0.0298616886138916
170,3,4,LEX+,1,0.14975523948669434
171,3,4,LEX,1,0.02988743782043457
172,3,4,INCL,1,0.029129981994628906
173,3,4,LEX+,1,0.031203269958496094
174,3,4,LEX,5,0.12622499465942383
175,3,4,INCL,952,10.224692583084106
176,3,4,LEX+,5,0.12489175796508789
177,3,4,LEX,2,0.03854203224182129
178,3,4,INCL,6,0.07293248176574707
179,3,4,LEX+,2,0.04130959510803223
180,3,4,LEX,5,0.23029017448425293
181,3,4,INCL,340,3.907139301300049
182,3,4,LEX+,5,0.1732642650604248
183,3,4,LEX,2,0.04113125801086426
184,3,4,INCL,3,0.05919361114501953
185,3,4,LEX+,2,0.039711952209472656
186,3,4,LEX,1,0.035626888275146484
187,3,4,INCL,2,0.04472613334655762
188,3,4,LEX+,1,0.03176712989807129
189,3,4,LEX,2,0.08464312553405762
190,3,4,INCL,156,2.1035616397857666
191,3,4,LEX+,2,0.07051730155944824
192,3,4,LEX,5,0.07966256141662598
193,3,4,INCL,22,0.25870323181152344
194,3,4,LEX+,5,0.08080768585205078
195,3,4,LEX,2,0.09354352951049805
196,3,4,INCL,156,2.055363893508911
197,3,4,LEX+,2,0.08584332466125488
198,3,4,LEX,1,0.034908294677734375
199,3,4,INCL,1,0.0321044921875
200,3,4,LEX+,1,0.03147006034851074
201,3,4,LEX,1,0.031836509704589844
202,3,4,INCL,2,0.0416872501373291
203,3,4,LEX+,1,0.0288848876953125
204,3,4,LEX,3,0.06273007392883301
205,3,4,INCL,20,0.25548577308654785
206,3,4,LEX+,3,0.062250375747680664
207,3,4,LEX,2,0.04740023612976074
208,3,4,INCL,6,0.08113455772399902
209,3,4,LEX+,2,0.04273390769958496
210,3,4,LEX,3,0.048664093017578125
211,3,4,INCL,7,0.09023547172546387
212,3,4,LEX+,3,0.05402255058288574
213,3,4,LEX,2,0.07124590873718262
214,3,4,INCL,156,2.042710781097412
215,3,4,LEX+,2,0.0831003189086914
216,3,4,LEX,2,0.08910822868347168
217,3,4,INCL,156,1.9458248615264893
218,3,4,LEX+,2,0.07776594161987305
219,3,4,LEX,3,0.05028676986694336
220,3,4,INCL,7,0.09297752380371094
221,3,4,LEX+,3,0.051950931549072266
222,3,4,LEX,2,0.041239261627197266
223,3,4,INCL,6,0.08130359649658203
224,3,4,LEX+,2,0.03909778594970703
225,3,4,LEX,5,0.11727285385131836
226,3,4,INCL,340,3.98222017288208
227,3,4,LEX+,5,0.14118075370788574
228,3,4,LEX,3,0.0635826587677002
229,3,4,INCL,10,0.1357288360595703
230,3,4,LEX+,3,0.0658876895904541
231,3,4,LEX,2,0.0385892391204834
232,3,4,INCL,3,0.04620790481567383
233,3,4,LEX+,2,0.04330921173095703
234,3,4,LEX,1,0.029185771942138672
235,3,4,INCL,2,0.04288887977600098
236,3,4,LEX+,1,0.029233217239379883
237,3,4,LEX,5,0.12779545783996582
238,3,4,INCL,952,10.952533483505249
239,3,4,LEX+,5,0.1295921802520752
240,3,4,LEX,3,0.06279397010803223
241,3,4,INCL,20,0.2681875228881836
242,3,4,LEX+,3,0.05913686752319336
243,3,4,LEX,2,0.043473243713378906
244,3,4,INCL,6,0.08216309547424316
245,3,4,LEX+,2,0.04008936882019043
246,3,4,LEX,2,0.04036855697631836
247,3,4,INCL,6,0.08233261108398438
248,3,4,LEX+,2,0.040796756744384766
249,3,4,LEX,2,0.06910300254821777
250,3,4,INCL,156,1.9918601512908936
251,3,4,LEX+,2,0.07418680191040039
252,3,4,LEX,5,0.1281871795654297
253,3,4,INCL,340,3.9869132041931152
254,3,4,LEX+,5,0.11238956451416016
255,3,4,LEX,2,0.03779149055480957
256,3,4,INCL,6,0.08708572387695312
257,3,4,LEX+,2,0.039934396743774414
258,3,4,LEX,1,0.03543567657470703
259,3,4,INCL,2,0.0393071174621582
260,3,4,LEX+,1,0.030081510543823242
261,3,4,LEX,2,0.04647970199584961
262,3,4,INCL,3,0.047144174575805664
263,3,4,LEX+,2,0.045507192611694336
264,3,4,LEX,2,0.03804969787597656
265,3,4,INCL,3,0.05130338668823242
266,3,4,LEX+,2,0.03744864463806152
267,3,4,LEX,1,0.028377532958984375
268,3,4,INCL,2,0.04341483116149902
269,3,4,LEX+,1,0.02885913848876953
270,3,4,LEX,2,0.08166265487670898
271,3,4,INCL,156,2.0413477420806885
272,3,4,LEX+,2,0.07864570617675781
273,3,4,LEX,2,0.04315590858459473
274,3,4,INCL,6,0.08295035362243652
275,3,4,LEX+,2,0.04003572463989258
276,3,4,LEX,5,0.10489320755004883
277,3,4,INCL,340,3.8056812286376953
278,3,4,LEX+,5,0.10723257064819336
279,3,4,LEX,3,0.061545372009277344
280,3,4,INCL,10,0.14177155494689941
281,3,4,LEX+,3,0.05837297439575195
282,3,4,LEX,5,0.08602309226989746
283,3,4,INCL,22,0.26147890090942383
284,3,4,LEX+,5,0.07719039916992188
285,3,4,LEX,1,0.032591819763183594
286,3,4,INCL,2,0.042160987854003906
287,3,4,LEX+,1,0.02955913543701172
288,3,4,LEX,2,0.038763999938964844
289,3,4,INCL,3,0.15678167343139648
290,3,4,LEX+,2,0.03917121887207031
291,3,4,LEX,1,0.028366565704345703
292,3,4,INCL,2,0.041727542877197266
293,3,4,LEX+,1,0.0303342342376709
294,3,4,LEX,5,0.08918642997741699
295,3,4,INCL,22,0.261523962020874
296,3,4,LEX+,5,0.07667875289916992
297,3,4,LEX,3,0.05713534355163574
298,3,4,INCL,20,0.26549506187438965
299,3,4,LEX+,3,0.05798625946044922
300,6,4,LEX,6,0.3803234100341797
301,6,4,INCL,117,1.6253395080566406
302,6,4,LEX+,4,0.33744144439697266
303,6,4,LEX,2,0.05083441734313965
304,6,4,INCL,6,0.09014701843261719
305,6,4,LEX+,2,0.05088949203491211
306,6,4,LEX,2,0.05127406120300293
307,6,4,INCL,12,0.15690827369689941
308,6,4,LEX+,2,0.0495758056640625
309,6,4,LEX,6,0.6054232120513916
310,6,4,INCL,243,3.4659011363983154
311,6,4,LEX+,4,0.5676045417785645
312,6,4,LEX,1,0.04629683494567871
313,6,4,INCL,5,0.08303570747375488
314,6,4,LEX+,1,0.04336118698120117
315,6,4,LEX,1,0.11088132858276367
316,6,4,INCL,164,2.01621675491333
317,6,4,LEX+,1,0.11894512176513672
318,6,4,LEX,3,0.09620809555053711
319,6,4,INCL,35,0.53122878074646
320,6,4,LEX+,3,0.08894920349121094
321,6,4,LEX,3,0.07952046394348145
322,6,4,INCL,19,0.24069738388061523
323,6,4,LEX+,3,0.08218574523925781
324,6,4,LEX,6,0.7365825176239014
325,6,4,INCL,243,3.26298189163208
326,6,4,LEX+,4,0.600860595703125
327,6,4,LEX,1,0.04106450080871582
328,6,4,INCL,6,0.10038280487060547
329,6,4,LEX+,1,0.038732290267944336
330,6,4,LEX,2,0.04269051551818848
331,6,4,INCL,24,0.39422082901000977
332,6,4,LEX+,2,0.0400393009185791
333,6,4,LEX,2,0.21517610549926758
334,6,4,INCL,591,7.050997972488403
335,6,4,LEX+,2,0.20951533317565918
336,6,4,LEX,3,0.12865805625915527
337,6,4,INCL,972,12.43269395828247
338,6,4,LEX+,3,0.12775492668151855
339,6,4,LEX,2,0.03722357749938965
340,6,4,INCL,3,0.058187246322631836
341,6,4,LEX+,2,0.05422711372375488
342,6,4,LEX,1,0.052405595779418945
343,6,4,INCL,2,0.05799150466918945
344,6,4,LEX+,1,0.04017949104309082
345,6,4,LEX,2,0.04227638244628906
346,6,4,INCL,153,1.7372941970825195
347,6,4,LEX+,2,0.04005599021911621
348,6,4,LEX,2,0.05393409729003906
349,6,4,INCL,6,0.09386587142944336
350,6,4,LEX+,2,0.046895742416381836
351,6,4,LEX,3,0.08072352409362793
352,6,4,INCL,72,0.9374513626098633
353,6,4,LEX+,3,0.07632923126220703
354,6,4,LEX,3,0.0891883373260498
355,6,4,INCL,20,0.26084113121032715
356,6,4,LEX+,3,0.08564043045043945
357,6,4,LEX,2,0.04409646987915039
358,6,4,INCL,153,1.66493558883667
359,6,4,LEX+,2,0.03687763214111328
360,6,4,LEX,2,0.051607370376586914
361,6,4,INCL,6,0.09840869903564453
362,6,4,LEX+,2,0.05327296257019043
363,6,4,LEX,2,0.04051327705383301
364,6,4,INCL,3,0.04836893081665039
365,6,4,LEX+,2,0.040741682052612305
366,6,4,LEX,2,0.10780978202819824
367,6,4,INCL,156,1.9219965934753418
368,6,4,LEX+,2,0.09601521492004395
369,6,4,LEX,2,0.04785585403442383
370,6,4,INCL,6,0.10016703605651855
371,6,4,LEX+,2,0.04805588722229004
372,6,4,LEX,1,0.0373077392578125
373,6,4,INCL,24,0.4052903652191162
374,6,4,LEX+,1,0.03821420669555664
375,6,4,LEX,1,0.09510517120361328
376,6,4,INCL,2522,30.72652816772461
377,6,4,LEX+,1,0.10703420639038086
378,6,4,LEX,1,0.09739041328430176
379,6,4,INCL,91,1.399383544921875
380,6,4,LEX+,1,0.1136476993560791
381,6,4,LEX,3,0.10230231285095215
382,6,4,INCL,19,0.3021266460418701
383,6,4,LEX+,3,0.08184170722961426
384,6,4,LEX,2,0.05232667922973633
385,6,4,INCL,12,0.17905831336975098
386,6,4,LEX+,2,0.06662559509277344
387,6,4,LEX,1,0.053218841552734375
388,6,4,INCL,5,0.10607481002807617
389,6,4,LEX+,1,0.051836490631103516
390,6,4,LEX,2,0.0587468147277832
391,6,4,INCL,24,0.3460097312927246
392,6,4,LEX+,2,0.0776209831237793
393,6,4,LEX,1,0.12043094635009766
394,6,4,INCL,388,5.646616697311401
395,6,4,LEX+,1,0.12141990661621094
396,6,4,LEX,3,0.1527116298675537
